timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude
0,45.668459583757794,0.0,0.0
1,45.66841421471328,0.0,0.0
2,45.66844351494365,0.0,0.0
3,45.66849226798514,0.0,0.0
4,45.668453433678216,0.0,0.0
5,45.6683463788504,0.0,0.0
6,45.66833558143117,0.0,0.0
7,45.66834494913928,0.0,0.0
8,45.67799295496661,0.0,0.0
9,45.67801057438192,0.0,0.0
10,45.6781174841126,0.0,0.0
11,45.67799150380597,0.0,0.0
12,45.67799056632066,0.0,0.0
13,45.67807967815861,0.0,0.0
14,45.67796778754564,0.0,0.0
15,45.677855712434386,0.0,0.0
16,45.67357871234708,0.0,0.0
17,45.67360252107028,0.0,0.0
18,45.67347355512902,0.0,0.0
19,45.679258014944935,0.0,0.0
20,45.679147269271205,0.0,0.0
21,45.679143249886685,0.0,0.0
22,45.679214143459824,0.0,0.0
23,45.67916664837686,0.0,0.0
24,45.67913282643713,0.0,0.0
25,45.6792080084233,0.0,0.0
26,45.6791301814519,0.0,0.0
27,45.679130795309895,0.0,0.0
28,45.67912178803818,0.0,0.0
29,45.68460571978358,0.0,0.0
30,45.6846579741832,0.0,0.0
31,45.684654089258395,0.0,0.0
32,45.684734988321,0.0,0.0
33,45.684656747420384,0.0,0.0
34,45.684655887635024,0.0,0.0
35,45.684551308280795,0.0,0.0
36,45.670768438314546,0.0,0.0
37,45.670821044281176,0.0,0.0
38,45.67083021740837,0.0,0.0
39,45.67069511814042,0.0,0.0
40,45.66746480397706,0.0,0.0
41,45.66741107328562,0.0,0.0
42,45.66739233887346,0.0,0.0
43,45.667402412029325,0.0,0.0
44,45.66735537389468,0.0,0.0
45,45.667362230902654,0.0,0.0
46,45.667325676127795,0.0,0.0
47,45.66735411588161,0.0,0.0
48,45.66729747485078,0.0,0.0
49,45.66720392172283,0.0,0.0
50,45.67281888212892,0.0,0.0
51,45.672904330334866,0.0,0.0
52,45.67289727734169,0.0,0.0
53,45.672922741097864,0.0,0.0
54,45.672945059719495,0.0,0.0
55,45.672751633188454,0.0,0.0
56,45.66436224400967,0.0,0.0
57,45.66438011506397,0.0,0.0
58,45.66431551611458,0.0,0.0
59,45.66442730323435,0.0,0.0
60,45.669956493060454,0.0,0.0
61,45.6699784215889,0.0,0.0
62,45.66994850418996,0.0,0.0
63,45.66994523625181,0.0,0.0
64,45.669958235739614,0.0,0.0
65,45.66994173257261,0.0,0.0
66,45.669983837600746,0.0,0.0
67,45.66995428921655,0.0,0.0
68,45.66997103492031,0.0,0.0
69,45.669987252651474,0.0,0.0
70,45.66987238441652,0.0,0.0
71,45.669857641929404,0.0,0.0
72,45.669837649373214,0.0,0.0
73,45.669832719257094,0.0,0.0
74,45.66981923255662,0.0,0.0
75,45.66978971254138,0.0,0.0
76,45.65996919710597,0.0,0.0
77,45.660067421442356,0.0,0.0
78,45.6600648690437,0.0,0.0
79,45.66007945429738,0.0,0.0
80,45.66004934029479,0.0,0.0
81,45.669762891920975,0.0,0.0
82,45.66978868986917,0.0,0.0
83,45.669725324696635,0.0,0.0
84,45.66973451952072,0.0,0.0
85,45.66975230276876,0.0,0.0
86,45.66973717368818,0.0,0.0
87,45.66971229143383,0.0,0.0
88,45.669693772157196,0.0,0.0
89,45.669643609697225,0.0,0.0
90,45.669678481819574,0.0,0.0
91,45.66956703871256,0.0,0.0
92,45.67926202047966,0.0,0.0
93,45.67941668839193,0.0,0.0
94,45.67931779434002,0.0,0.0
95,45.67915574266226,0.0,0.0
96,45.665707496082184,0.0,0.0
97,45.66573202230938,0.0,0.0
98,45.665707172171096,0.0,0.0
99,45.6657034412201,0.0,0.0
100,45.66563006219803,0.0,0.0
101,45.66562649349361,0.0,0.0
102,45.671265106342624,0.0,0.0
103,45.671286760851224,0.0,0.0
104,45.67126835724048,0.0,0.0
105,45.67119534984522,0.0,0.0
106,45.6712389339009,0.0,0.0
107,45.67116672295378,0.0,0.0
108,45.67120433798846,0.0,0.0
109,45.67120287541184,0.0,0.0
110,45.671112231269944,0.0,0.0
111,45.67109352564148,0.0,0.0
112,45.67098390628234,0.0,0.0
113,45.676571102259906,0.0,0.0
114,45.67680310048309,0.0,0.0
115,45.67665403535647,0.0,0.0
116,45.665661614912096,0.0,0.0
117,45.665668781352,0.0,0.0
118,45.665697804397496,0.0,0.0
119,45.665639626706245,0.0,0.0
120,45.66568972613457,0.0,0.0
121,45.66566919721299,0.0,0.0
122,45.665591639117345,0.0,0.0
123,45.680060743921786,0.0,0.0
124,45.680093097209465,0.0,0.0
125,45.680079357422066,0.0,0.0
126,45.68007571606722,0.0,0.0
127,45.68007490654418,0.0,0.0
128,45.68015778989502,0.0,0.0
129,45.68009446107317,0.0,0.0
130,45.680139659580156,0.0,0.0
131,45.680114212089386,0.0,0.0
132,45.680069420108346,0.0,0.0
133,45.679969296877964,0.0,0.0
134,45.68562333742011,0.0,0.0
135,45.68560573906143,0.0,0.0
136,45.67007136679604,0.0,0.0
137,45.67021724876393,0.0,0.0
138,45.67015839989472,0.0,0.0
139,45.67014626485616,0.0,0.0
140,45.67018352364539,0.0,0.0
141,45.67017843045323,0.0,0.0
142,45.67009218213207,0.0,0.0
